build,race,baselineDPS,smoothDPS,changePercent,combinedStandardError,energyGenerated,energyWasted
feral,Tauren,523.2532856497854,519.0068209435617,-0.811550509606529,0.26656338051204753,3000.0,0.5895999999627471
feral,Windshaper,521.8361926131118,518.1890212958027,-0.6989111466274123,0.26683639271621246,3000.0,0.5952399999592454
feral,Night Elf,523.3748515318738,519.4741821290047,-0.7452917142373505,0.26673978083137,3000.0,0.5875999999623746
feral,High Order,521.8361926131118,518.1890212958027,-0.6989111466274123,0.26683639271621246,3000.0,0.5952399999592454
combat,Orc,496.5750040800676,490.4678891519046,-1.2298474304957674,0.32172798187452495,3160.7422,0.0084
combat,Troll,496.04402729843844,489.10234072397213,-1.3994093653888373,0.3263019197829684,3160.7486,0.0068
combat,Undead,509.53376157597455,502.79762486803503,-1.3220197003442569,0.33208992363268536,3160.7433,0.0134
combat,Windshaper,495.81906684737385,489.98942486519564,-1.1757599438935507,0.3221536016458849,3160.7498,0.0188
combat,Human,501.8315595494495,495.57321589859436,-1.2471004526845464,0.32663976146759494,3160.7422,0.0084
combat,Dwarf,496.00264329352046,489.9193300547286,-1.2264679071865126,0.32233614711380176,3160.7422,0.0084
combat,Night Elf,499.2399174911136,493.0309742459786,-1.2436792467111824,0.3240689176653344,3160.7422,0.0084
combat,Gnome,500.06350247759354,493.61416837421143,-1.289703022001909,0.3259427828591772,3159.9787,0.006680000000074506
combat,High Order,495.81906684737385,489.98942486519564,-1.1757599438935507,0.3221536016458849,3160.7498,0.0188
mutilate,Orc,482.13355878262155,482.2829249425779,0.030980245460088263,0.31051589054895495,3000.0,2.3722
mutilate,Troll,482.2874979271392,482.2720850560017,-0.003195784921605771,0.30889629951639913,3000.0,2.3572
mutilate,Undead,501.32564260837586,500.7624274566452,-0.11234517125441323,0.3258848454596696,3000.0,2.4198
mutilate,Windshaper,482.35479460601357,482.08077326976377,-0.05680908313010491,0.3096201060074498,3000.0,2.369
mutilate,Human,479.26330056037835,479.2730841310337,0.0020413769725280417,0.3090641245708072,3000.0,2.3718
mutilate,Dwarf,478.1598301662268,478.2913511807515,0.02750565945262018,0.3079737787500434,3000.0,2.3722
mutilate,Night Elf,485.6624605734026,485.63161860629225,-0.006350494348261737,0.3122637598683883,3000.0,2.4396
mutilate,Gnome,489.639776338024,481.33827818909884,-1.6954296913970879,0.3111404469235451,3000.0,0.028960000000149012
mutilate,High Order,482.35479460601357,482.08077326976377,-0.05680908313010491,0.3096201060074498,3000.0,2.369
subtlety,Orc,418.94601902800696,418.6430852430285,-0.0723085484094832,0.28301317208084,3000.0,0.7197999999914318
subtlety,Troll,418.36954459205776,417.699062910325,-0.16026063330841778,0.2790159981542173,3000.0,0.7460399999897928
subtlety,Undead,432.06816836369165,431.69839353796664,-0.08558251979667864,0.29233072384644454,3000.0,0.7549999999914319
subtlety,Windshaper,417.8758197273818,417.713401940752,-0.03886747664311185,0.2793586638915729,3000.0,0.7270799999907612
subtlety,Human,423.3674304574535,422.9042129686654,-0.10941264147023011,0.2867912249824497,3000.0,0.7197999999914318
subtlety,Dwarf,418.53948662537647,418.1546042800007,-0.09195843108592561,0.28350824862777385,3000.0,0.7197999999914318
subtlety,Night Elf,421.15784039506445,420.85044080512563,-0.07298916473938988,0.28574951532390336,3000.0,0.7197999999914318
subtlety,Gnome,421.3872927430367,420.4756138954412,-0.21635176553638225,0.2825049330059587,3000.0,1.4592559999939054
subtlety,High Order,417.8758197273818,417.713401940752,-0.03886747664311185,0.2793586638915729,3000.0,0.7270799999907612
