build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,756.0236549642866,23.562161021213633,0.33321927675019014,5000,0,2.6500000000000004,2.6500000000000004,16,16,linear-v1,26.500000000000004,768.6428571428571,0,5232220115501351--505003
Balance,Windshaper,Horde,756.7828635234916,23.669672262255943,0.3347397153020861,5000,0,3.65,3.65,16,16,linear-v1,36.5,768.6428571428571,3.552713678800501e-15,5232220115501351--505003
Balance,Night Elf,Alliance,757.5496123922229,23.544795675337028,0.3329736936736502,5000,0,3.65,3.65,16,16,linear-v1,36.5,768.6428571428571,3.552713678800501e-15,5232220115501351--505003
Balance,High Order,Alliance,756.7828635234916,23.669672262255943,0.3347397153020861,5000,0,3.65,3.65,16,16,linear-v1,36.5,768.6428571428571,3.552713678800501e-15,5232220115501351--505003
Feral,Tauren,Horde,788.893847984019,17.702569592018104,0.2503521400588555,5000,0,-1.8499999999999996,-1.8499999999999996,9,9,linear-v1,-18.499999999999996,610.5,-4.440892098500626e-16,050022-3521002023032213041-053
Feral,Windshaper,Horde,791.8730168571794,17.910531933196612,0.25329317169243054,5000,0,-0.8499999999999996,-0.8499999999999996,9,9,linear-v1,-8.499999999999996,610.5,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,790.4998541011354,17.759031991802168,0.25115063897424306,5000,0,0.6500000000000004,0.6500000000000004,9,9,linear-v1,6.5000000000000036,631.5,0,050022-3521002023032213041-053
Feral,High Order,Alliance,791.8730168571794,17.910531933196612,0.25329317169243054,5000,0,-0.8499999999999996,-0.8499999999999996,9,9,linear-v1,-8.499999999999996,610.5,0,050022-3521002023032213041-053
Elemental,Orc,Horde,649.8322413132332,19.236854865952385,0.2720502104883273,5000,0.0861,1.1500000000000004,1.1500000000000004,16,16,linear-v1,11.500000000000004,768.6428571428571,-2.220446049250313e-16,5502301500123031-052-05305
Elemental,Tauren,Horde,647.726592945134,18.986077091217336,0.2685036771866068,5000,0.0895,0.15000000000000036,0.15000000000000036,16,16,linear-v1,1.5000000000000036,768.6428571428571,5.551115123125783e-17,5502301500123031-052-05305
Elemental,Troll,Horde,647.3252995810103,19.165594391579678,0.27104243519513704,5000,0.0635909091970001,1.1500000000000004,1.1500000000000004,16,16,linear-v1,11.500000000000004,768.6428571428571,-2.220446049250313e-16,5502301500123031-052-05305
Elemental,Windshaper,Horde,646.9491226682244,19.170676662823446,0.271114309364343,5000,0.07458881499399991,1.1500000000000004,1.1500000000000004,16,16,linear-v1,11.500000000000004,768.6428571428571,-2.220446049250313e-16,5502301500123031-052-05305
Elemental,Dwarf,Alliance,643.5089608976637,18.859730089646295,0.2667168607547374,5000,0.0943,1.1500000000000004,1.1500000000000004,16,16,linear-v1,11.500000000000004,768.6428571428571,-2.220446049250313e-16,5502301500123031-052-05305
Stormcaller,Orc,Horde,693.6754431447835,19.82790694697697,0.2804089491788654,5000,0.2799,4.65,4.65,16,16,linear-v1,46.5,771.6428571428571,-1.7763568394002505e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,690.945146238912,19.893378770417446,0.28133486058549356,5000,0.2836,3.65,3.65,16,16,linear-v1,36.5,771.6428571428571,4.440892098500626e-16,550032150010303-055030031004002
Stormcaller,Troll,Horde,689.5188747262904,20.28567374628814,0.2868827493387652,5000,0.2974827272815999,4.65,4.65,16,16,linear-v1,46.5,771.6428571428571,-1.7763568394002505e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,690.4977009908965,19.894638560763777,0.28135267671142883,5000,0.3273778222499988,4.65,4.65,16,16,linear-v1,46.5,771.6428571428571,-1.7763568394002505e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,687.2288233322327,19.92921127077924,0.28184160866534747,5000,0.276,4.65,4.65,16,16,linear-v1,46.5,771.6428571428571,-1.7763568394002505e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,933.3041370841041,50.812810093605485,0.7186016517666537,5000,0.0006536575647999999,10.15,10.15,16,16,linear-v1,101.5,748.5,1.0658141036401503e-14,420033152-053030031005102251
Enhancement,Tauren,Horde,931.9366205275275,48.635254405246286,0.6878063638936511,5000,0,10.5,10.5,16,16,linear-v1,105,804,-5.329070518200751e-15,420033152-053030031005102251
