build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,635.1467063080362,19.40083472336005,0.27436923587134654,5000,0,4.609999999999999,4.609999999999999,16,16,linear-v1,46.099999999999994,563.6714285714286,-1.7763568394002505e-15,5232220115501351--505003
Balance,Windshaper,Horde,634.842953138192,19.090460694652446,0.26997988426327985,5000,0,5.609999999999999,5.609999999999999,16,16,linear-v1,56.099999999999994,563.6714285714286,-1.0658141036401503e-14,5232220115501351--505003
Balance,Night Elf,Alliance,635.9874600798934,19.77453134358517,0.2796541041567001,5000,0,5.609999999999999,5.609999999999999,16,16,linear-v1,56.099999999999994,563.6714285714286,-1.0658141036401503e-14,5232220115501351--505003
Balance,High Order,Alliance,634.842953138192,19.090460694652446,0.26997988426327985,5000,0,5.609999999999999,5.609999999999999,16,16,linear-v1,56.099999999999994,563.6714285714286,-1.0658141036401503e-14,5232220115501351--505003
Feral,Tauren,Horde,701.2830649673732,16.16038572136715,0.22854236660337934,5000,0,-0.28999999999999915,-0.28999999999999915,9,9,linear-v1,-2.8999999999999915,447.7000000000001,-3.3306690738754696e-16,050022-3521002023032213041-053
Feral,Windshaper,Horde,703.3658721474865,16.163276329411037,0.22858324597437105,5000,0,0.7100000000000009,0.7100000000000009,9,9,linear-v1,7.1000000000000085,447.7000000000001,8.881784197001252e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,702.9123813218372,16.14791516705869,0.22836600633304605,5000,0,1.8099999999999994,1.8099999999999994,9,9,linear-v1,18.099999999999994,463.1000000000001,8.881784197001252e-16,050022-3521002023032213041-053
Feral,High Order,Alliance,703.3658721474865,16.163276329411037,0.22858324597437105,5000,0,0.7100000000000009,0.7100000000000009,9,9,linear-v1,7.1000000000000085,447.7000000000001,8.881784197001252e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,537.8995623189794,15.666422615461586,0.2215566733665435,5000,0.1236,3.5099999999999993,3.5099999999999993,16,16,linear-v1,35.099999999999994,563.6714285714287,8.881784197001252e-16,5502301500123031-052-05305
Elemental,Tauren,Horde,537.2312434078679,15.716554453571929,0.2222656446201669,5000,0.1234,2.51,2.51,16,16,linear-v1,25.099999999999998,563.6714285714287,4.440892098500626e-16,5502301500123031-052-05305
Elemental,Troll,Horde,535.7504306247428,15.715792006949828,0.22225486199663128,5000,0.0995690910432003,3.5099999999999993,3.5099999999999993,16,16,linear-v1,35.099999999999994,563.6714285714287,8.881784197001252e-16,5502301500123031-052-05305
Elemental,Windshaper,Horde,535.5693749472078,15.680880737641813,0.22176114209128073,5000,0.11258030134339997,3.5099999999999993,3.5099999999999993,16,16,linear-v1,35.099999999999994,563.6714285714287,8.881784197001252e-16,5502301500123031-052-05305
Elemental,Dwarf,Alliance,533.0658728040897,15.557697757476161,0.22001907167924273,5000,0.1174,3.5099999999999993,3.5099999999999993,16,16,linear-v1,35.099999999999994,563.6714285714287,8.881784197001252e-16,5502301500123031-052-05305
Stormcaller,Orc,Horde,570.1484509847778,16.124269054722724,0.22803159980541682,5000,0.282,7.409999999999999,7.409999999999999,16,16,linear-v1,74.1,565.8714285714286,5.329070518200751e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,568.9186623773098,16.232846537670255,0.22956711729494414,5000,0.2813,6.409999999999999,6.409999999999999,16,16,linear-v1,64.1,565.8714285714286,1.4210854715202004e-14,550032150010303-055030031004002
Stormcaller,Troll,Horde,566.6227568481646,16.349474833885978,0.23121649047759155,5000,0.2766745454592,7.409999999999999,7.409999999999999,16,16,linear-v1,74.1,565.8714285714286,5.329070518200751e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,567.4633281468679,16.219151054384646,0.2293734339128865,5000,0.33160594082499895,7.409999999999999,7.409999999999999,16,16,linear-v1,74.1,565.8714285714286,5.329070518200751e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,565.0312169361033,16.166526667485186,0.22862921269623865,5000,0.2832,7.409999999999999,7.409999999999999,16,16,linear-v1,74.1,565.8714285714286,5.329070518200751e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,776.1611685401858,42.20542518951459,0.596874847087346,5000,0.030597681714399992,11.71,11.71,16,16,linear-v1,117.10000000000001,548.9,-1.0658141036401503e-14,420033152-053030031005102251
Enhancement,Tauren,Horde,775.0770900860388,40.46803729109942,0.5723044717969297,5000,0.0021873420603999998,11.7,11.7,16,16,linear-v1,117,589.6000000000001,1.7763568394002505e-14,420033152-053030031005102251
Enhancement,Troll,Horde,769.0156744747062,41.35858089894982,0.5848986602779966,5000,0.008423741015799997,11.71,11.71,16,16,linear-v1,117.10000000000001,569.6428571428571,-1.0658141036401503e-14,420033152-053030031005102251
Enhancement,Windshaper,Horde,774.2830298844291,41.50198611427979,0.5869267162823434,5000,0.010850341549400002,12.7,12.7,16,16,linear-v1,127,579.7,1.4210854715202004e-14,420033152-053030031005102251
Enhancement,Dwarf,Alliance,781.9203291172358,41.38926032697404,0.5853325329099737,5000,0.010713349517999998,11.71,11.71,16,16,linear-v1,117.10000000000001,584.1,0,420033152-053030031005102251
Beast Mastery,Orc,Horde,983.9168578656321,20.222940494482437,0.28599556718361124,5000,0.006322696824200001,1.4100000000000001,1.4100000000000001,9,9,linear-v1,14.100000000000001,594.4714285714286,-1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,965.5266317658165,19.39428698476791,0.27427663686414777,5000,0.0100217724154,0.41000000000000014,0.41000000000000014,9,9,linear-v1,4.100000000000001,594.4714285714286,0,5320001505101251-00531510005
Beast Mastery,Troll,Horde,969.0301574479753,19.853212635669642,0.28076682566040906,5000,0.009985793618400001,1.4100000000000001,1.4100000000000001,9,9,linear-v1,14.100000000000001,594.4714285714286,-1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,990.3825287612784,22.150132197411587,0.3132501736193643,5000,0.0010327897192,1.4100000000000001,1.4100000000000001,9,9,linear-v1,14.100000000000001,594.4714285714286,-1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Human,Alliance,987.8561457368182,20.142063968656437,0.2848518003866038,5000,0.0035534723472000003,1.4100000000000001,1.4100000000000001,9,9,linear-v1,14.100000000000001,594.4714285714286,-1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,962.4958576345513,19.252073392877453,0.272265432960095,5000,0.009176514349999998,1.4100000000000001,1.4100000000000001,9,9,linear-v1,14.100000000000001,594.4714285714286,-1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,976.8617484994221,19.56291855291508,0.2766614473713275,5000,0.006123201346399999,1.4100000000000001,1.4100000000000001,9,9,linear-v1,14.100000000000001,594.4714285714286,-1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,990.3825287612784,22.150132197411587,0.3132501736193643,5000,0.0010327897192,1.4100000000000001,1.4100000000000001,9,9,linear-v1,14.100000000000001,594.4714285714286,-1.7763568394002505e-15,5320001505101251-00531510005
